date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1910-08-15,Uruguay,Argentina,3.0,1.0,Copa Lipton,False,1910,1915.0,1946.0,-31.0,home_win
1910-09-11,Norway,Sweden,0.0,4.0,Friendly,False,1910,1385.0,1667.0,-282.0,away_win
1910-10-16,Germany,Netherlands,1.0,2.0,Friendly,False,1910,1658.0,1927.0,-269.0,away_win
1910-11-13,Argentina,Uruguay,1.0,1.0,Copa Premio Honor Argentino,False,1910,1946.0,1915.0,31.0,draw
1910-11-27,Argentina,Uruguay,2.0,6.0,Copa Premio Honor Argentino,False,1910,1946.0,1915.0,31.0,away_win
1911-03-19,Belgium,Netherlands,1.0,5.0,Friendly,False,1911,1760.0,1950.0,-190.0,away_win
1911-03-26,Germany,Switzerland,6.0,2.0,Friendly,False,1911,1648.0,1543.0,105.0,home_win
1911-04-01,England,Scotland,1.0,1.0,British Home Championship,False,1911,2147.0,1847.0,300.0,draw
1911-04-02,Netherlands,Belgium,3.0,1.0,Friendly,False,1911,1950.0,1760.0,190.0,home_win
1911-04-23,Belgium,Germany,2.0,1.0,Friendly,False,1911,1760.0,1648.0,112.0,home_win
1911-04-23,Switzerland,France,5.0,2.0,Friendly,False,1911,1543.0,1529.0,14.0,home_win
1911-04-30,Belgium,France,7.0,1.0,Friendly,False,1911,1760.0,1529.0,231.0,home_win
1911-06-18,Sweden,Germany,2.0,4.0,Friendly,False,1911,1691.0,1648.0,43.0,away_win
1911-08-15,Argentina,Uruguay,0.0,2.0,Copa Lipton,False,1911,1939.0,1922.0,17.0,away_win
1911-09-17,Sweden,Norway,4.0,1.0,Friendly,False,1911,1691.0,1381.0,310.0,home_win
1911-09-17,Uruguay,Argentina,2.0,3.0,Copa Newton,False,1911,1922.0,1939.0,-17.0,away_win
1911-10-08,Uruguay,Argentina,1.0,1.0,Copa Premio Honor Uruguayo,False,1911,1922.0,1939.0,-17.0,draw
1911-10-09,Germany,Austria,1.0,2.0,Friendly,False,1911,1648.0,1852.0,-204.0,away_win
